zone_visit_rate,zone_step_frac,zone_depth_mean,zone_steps_mean,left_path_pct,right_path_pct,true_return_mean,true_return_std,upright_success_rate,time_to_upright_mean,episode_len_mean,landing_success_rate,strict_landing_rate,crash_rate,timeout_rate,cost_vs_forecast_err_corr,penalizes_region,run_id,method,env,seed,wall_clock_train_s,peak_mem_mb,n_models,fits_local,hparam,device,p,knob,knob_value,alpha,epsilon,constraint_signal,constraint_C,constraint_C_zone_rate,constraint_C_cost_mean,constraint_satisfied,alpha_trajectory_len,alpha_init
0.27,0.036925532104525455,0.01317354070585731,6.705,,,257.46764806110883,62.511185331100094,,,224.985,0.955,0.915,0.035,0.05,,,baseline_LL_p30.0_seed5_v3matrix,baseline,LL,5,2382.9,502.9,1,True,"{'knob': 'p', 'value': 30.0}",mps,30.0,p,30.0,,,,,,,,,
0.415,0.07918461996050549,0.026216809942495544,29.87,,,153.14410121510923,119.5176301900283,,,385.29,0.695,0.575,0.07,0.355,,,baseline_LL_p30.0_seed4_v3matrix,baseline,LL,4,2434.8,502.4,1,True,"{'knob': 'p', 'value': 30.0}",mps,30.0,p,30.0,,,,,,,,,
0.275,0.017769999999999998,0.005932502515676119,8.885,,,101.52324308370628,59.02387969157341,,,480.7,0.875,0.105,0.005,0.89,,,lagr_LL_epsilon0.01_seed5_v3matrix,lagr,LL,5,2635.9,542.8,1,True,"{'knob': 'epsilon', 'value': 0.01}",mps,,epsilon,0.01,0.0,0.01,cost,0.0,0.0,0.0,True,601.0,5.0
0.235,0.03215334781368631,0.009767793766100945,6.6,,,281.21520952453176,20.12141715919424,,,221.2,1.0,1.0,0.0,0.0,,,lagr_LL_epsilon0.01_seed4_v3matrix,lagr,LL,4,2639.2,542.0,1,True,"{'knob': 'epsilon', 'value': 0.01}",mps,,epsilon,0.01,0.0,0.01,cost,0.0,0.0,0.0,True,601.0,5.0
0.28,0.03096582960131836,0.009770460751202739,4.94,,,263.8895443497929,35.45619835244001,,,195.48,1.0,0.96,0.01,0.03,,,baseline_LL_p10.0_seed3_v3matrix,baseline,LL,3,2519.3,541.4,1,True,"{'knob': 'p', 'value': 10.0}",mps,10.0,p,10.0,,,,,,,,,
0.245,0.03163625483269918,0.009812548080382339,6.325,,,228.312135948331,97.22306081349441,,,260.9,0.975,0.85,0.11,0.04,,,baseline_LL_p10.0_seed2_v3matrix,baseline,LL,2,2530.2,539.6,1,True,"{'knob': 'p', 'value': 10.0}",mps,10.0,p,10.0,,,,,,,,,
0.26,0.02605784615058733,0.007108524329563175,5.285,,,271.74686278062484,27.33330364888406,,,231.32,1.0,0.97,0.0,0.03,,,baseline_LL_p10.0_seed4_v3matrix,baseline,LL,4,2557.8,541.8,1,True,"{'knob': 'p', 'value': 10.0}",mps,10.0,p,10.0,,,,,,,,,
0.245,0.032250865052610475,0.010460417790572935,6.245,,,250.3470385808279,45.50562348755335,,,260.815,0.995,0.91,0.0,0.09,,,baseline_LL_p10.0_seed5_v3matrix,baseline,LL,5,2538.7,543.0,1,True,"{'knob': 'p', 'value': 10.0}",mps,10.0,p,10.0,,,,,,,,,
0.25,0.026326860821432662,0.008422565653307613,7.265,,,256.69357119211594,24.207669301561545,,,298.75,1.0,0.995,0.0,0.005,,,baseline_LL_p30.0_seed2_v3matrix,baseline,LL,2,2646.8,499.8,1,True,"{'knob': 'p', 'value': 30.0}",mps,30.0,p,30.0,,,,,,,,,
0.33,0.05145897355533455,0.017194367425342208,9.955,,,274.59730222639166,25.01942773728219,,,216.49,1.0,0.99,0.005,0.005,,,baseline_LL_p30.0_seed3_v3matrix,baseline,LL,3,2628.6,486.2,1,True,"{'knob': 'p', 'value': 30.0}",mps,30.0,p,30.0,,,,,,,,,
0.24,0.03283851509401878,0.010106939752636497,7.26,,,268.912312103588,18.245726867955074,,,255.49,1.0,1.0,0.0,0.0,,,lagr_LL_epsilon0.01_seed2_v3matrix,lagr,LL,2,2645.0,434.2,1,True,"{'knob': 'epsilon', 'value': 0.01}",mps,,epsilon,0.01,0.0,0.01,cost,0.0,0.0,0.0,True,601.0,5.0
0.29,0.0347199385471729,0.010602499416673673,7.33,,,270.5213117261377,15.698466960682222,,,245.6,1.0,1.0,0.0,0.0,,,lagr_LL_epsilon0.01_seed3_v3matrix,lagr,LL,3,2647.2,542.4,1,True,"{'knob': 'epsilon', 'value': 0.01}",mps,,epsilon,0.01,0.0,0.01,cost,0.0,0.056,0.0,True,601.0,5.0
0.265,0.019685071304340038,0.006678073205550947,6.535,,,176.65383007561692,105.33023666781448,,,383.625,0.92,0.525,0.1,0.375,,,baseline_LL_p2.0_seed1_v3matrix,baseline,LL,1,2412.4,459.2,1,True,"{'knob': 'p', 'value': 2.0}",mps,2.0,p,2.0,,,,,,,,,
0.28,0.03693310982551639,0.012562256136082162,7.245,,,260.1659756520483,32.91923709412609,,,257.32,1.0,0.945,0.0,0.055,,,baseline_LL_p2.0_seed0_v3matrix,baseline,LL,0,2396.0,459.9,1,True,"{'knob': 'p', 'value': 2.0}",mps,2.0,p,2.0,,,,,,,,,
