zone_visit_rate,left_path_pct,right_path_pct,true_return_mean,true_return_std,upright_success_rate,time_to_upright_mean,cost_vs_forecast_err_corr,penalizes_region,run_id,method,env,seed,wall_clock_train_s,peak_mem_mb,n_models,fits_local,hparam,p,knob,knob_value,alpha,epsilon,constraint_signal,constraint_C,constraint_C_zone_rate,constraint_C_cost_mean,constraint_satisfied,alpha_trajectory_len,alpha_init
0.454,51,49,-1094.9041665654038,437.57823674143447,0.138,172.846,,,baseline_E1_p30_seed1_v2,baseline,E1,1,893.1,432.3,1,True,"{'knob': 'p', 'value': 30.0}",30.0,p,30.0,,,,,,,,,
0.856,52,48,-141.97720885943656,81.04996070301601,1.0,29.99,,,lagr_E1_epsilon0.05_seed1_v2,lagr,E1,1,860.2,432.1,1,True,"{'knob': 'epsilon', 'value': 0.05}",,epsilon,0.05,0.32359999999999917,0.05,zone,0.024,0.024,0.32258883784307235,True,301.0,1.0
0.486,46,54,-1173.1258826230774,280.5555105956189,0.062,187.618,,,baseline_E1_p30_seed0_v2,baseline,E1,0,891.8,431.6,1,True,"{'knob': 'p', 'value': 30.0}",30.0,p,30.0,,,,,,,,,
0.9,48,52,-152.3896831968536,79.77081761901545,1.0,30.992,,,lagr_E1_epsilon0.05_seed0_v2,lagr,E1,0,860.7,433.6,1,True,"{'knob': 'epsilon', 'value': 0.05}",,epsilon,0.05,0.3465999999999993,0.05,zone,0.022,0.022,0.36475077832064234,True,301.0,1.0
0.858,52,48,-300.2064453295774,219.17813722481714,1.0,27.308,0.05434103865368271,,bnn_E2_p1.0_seed1_v2,bnn,E2,1,832.8,335.9,1,True,"{'knob': 'p', 'value': 1.0}",1.0,p,1.0,,,,,,,,,
0.9,48,52,-153.26838282236568,79.00882262185009,1.0,28.942,,,baseline_E1_p2_seed0_v2,baseline,E1,0,895.0,408.3,1,True,"{'knob': 'p', 'value': 2.0}",2.0,p,2.0,,,,,,,,,
0.86,52,48,-421.97259113264107,296.9772931017463,1.0,26.984,0.4092374758180498,,ens_E2_p0.2_seed1_v2,ens,E2,1,770.5,352.0,5,True,"{'knob': 'p', 'value': 0.2}",0.2,p,0.2,,,,,,,,,
0.9,32,68,-170.43981139150662,105.79733436084511,1.0,32.1,,,baseline_E3_p10_seed0_v2,baseline,E3,0,1124.7,408.9,1,True,"{'knob': 'p', 'value': 10.0}",10.0,p,10.0,,,,,,,,,
0.9,48,52,-152.16666068076913,78.34949057517721,1.0,31.69,,,lagr_E1_epsilon0.02_seed0_v2,lagr,E1,0,857.3,408.9,1,True,"{'knob': 'epsilon', 'value': 0.02}",,epsilon,0.02,1.2833999999999994,0.02,zone,0.02,0.02,0.36354111119213933,True,301.0,1.0
0.866,55,45,-362.5175515797142,258.21644954156585,1.0,27.37,0.4092374758180498,,ens_E2_p1.0_seed1_v2,ens,E2,1,823.0,352.4,5,True,"{'knob': 'p', 'value': 1.0}",1.0,p,1.0,,,,,,,,,
0.858,52,48,-354.92559013247904,264.6767792618018,1.0,26.992,0.05434103865368271,,bnn_E2_p0.2_seed1_v2,bnn,E2,1,923.8,350.9,1,True,"{'knob': 'p', 'value': 0.2}",0.2,p,0.2,,,,,,,,,
0.914,51,49,-411.20988005959407,254.09490472944822,1.0,29.896,0.4092374758180498,,ens_E2_p1.0_seed0_v2,ens,E2,0,824.9,351.4,5,True,"{'knob': 'p', 'value': 1.0}",1.0,p,1.0,,,,,,,,,
0.904,48,52,-495.42917996433806,285.6887707147205,1.0,29.372,0.05434103865368271,,bnn_E2_p0.2_seed0_v2,bnn,E2,0,926.4,351.1,1,True,"{'knob': 'p', 'value': 0.2}",0.2,p,0.2,,,,,,,,,
0.904,49,51,-462.50618380271493,343.9438196223578,1.0,30.142,0.05434103865368271,,bnn_E2_p1.0_seed0_v2,bnn,E2,0,844.4,335.7,1,True,"{'knob': 'p', 'value': 1.0}",1.0,p,1.0,,,,,,,,,
0.856,52,48,-141.5584275562931,81.57963944405385,1.0,28.506,,,baseline_E1_p2_seed1_v2,baseline,E1,1,890.7,408.0,1,True,"{'knob': 'p', 'value': 2.0}",2.0,p,2.0,,,,,,,,,
0.908,49,51,-522.6913897158717,344.276241603958,1.0,29.214,0.4092374758180498,,ens_E2_p0.2_seed0_v2,ens,E2,0,771.3,351.8,5,True,"{'knob': 'p', 'value': 0.2}",0.2,p,0.2,,,,,,,,,
0.856,51,49,-145.99670286656263,88.3718938145323,1.0,28.138,,,baseline_E3_p10_seed1_v2,baseline,E3,1,1119.6,409.2,1,True,"{'knob': 'p', 'value': 10.0}",10.0,p,10.0,,,,,,,,,
0.856,51,49,-142.46170938719436,81.18250540978315,1.0,29.744,,,lagr_E1_epsilon0.02_seed1_v2,lagr,E1,1,860.5,409.0,1,True,"{'knob': 'epsilon', 'value': 0.02}",,epsilon,0.02,1.2305999999999981,0.02,zone,0.026,0.026,0.3278851867583009,False,301.0,1.0
0.9,48,52,-150.62395499788934,78.02342885727961,1.0,30.262,,,lagr_E3_epsilon0.05_seed0_v2,lagr,E3,0,1107.3,440.1,1,True,"{'knob': 'epsilon', 'value': 0.05}",,epsilon,0.05,1.694399999999999,0.05,zone,0.048,0.048,0.1080198808335868,True,301.0,1.0
0.9,47,53,-151.8019179230382,79.25673109858032,1.0,28.044,,,baseline_E3_p2_seed0_v2,baseline,E3,0,1210.5,439.9,1,True,"{'knob': 'p', 'value': 2.0}",2.0,p,2.0,,,,,,,,,
0.862,52,48,-358.23156199375126,246.6997419394535,1.0,27.534,0.05434103865368271,,bnn_E2_p0.6_seed1_v2,bnn,E2,1,932.2,351.8,1,True,"{'knob': 'p', 'value': 0.6}",0.6,p,0.6,,,,,,,,,
0.862,51,49,-410.02547386889603,282.6650851363764,1.0,26.83,0.4092374758180498,,ens_E2_p0.6_seed1_v2,ens,E2,1,828.9,351.5,5,True,"{'knob': 'p', 'value': 0.6}",0.6,p,0.6,,,,,,,,,
0.856,32,68,-172.17029914302444,120.28357251567158,1.0,33.46,,,baseline_E1_p10_seed1_v2,baseline,E1,1,896.6,407.8,1,True,"{'knob': 'p', 'value': 10.0}",10.0,p,10.0,,,,,,,,,
0.904,47,53,-337.722242145071,250.85202128137624,1.0,29.266,0.4092374758180498,,ens_E2_p0.6_seed0_v2,ens,E2,0,827.5,351.5,5,True,"{'knob': 'p', 'value': 0.6}",0.6,p,0.6,,,,,,,,,
0.9,5,95,-213.8282503840478,113.61898467985598,1.0,39.978,,,baseline_E1_p10_seed0_v2,baseline,E1,0,894.7,408.2,1,True,"{'knob': 'p', 'value': 10.0}",10.0,p,10.0,,,,,,,,,
0.856,51,49,-140.8183354738491,80.74469107747431,1.0,29.602,,,lagr_E3_epsilon0.05_seed1_v2,lagr,E3,1,1108.0,440.5,1,True,"{'knob': 'epsilon', 'value': 0.05}",,epsilon,0.05,1.6508000000000007,0.05,zone,0.072,0.072,0.15717645389728052,False,301.0,1.0
0.856,50,50,-140.32613785592386,80.44257159120414,1.0,27.772,,,baseline_E3_p2_seed1_v2,baseline,E3,1,1205.6,439.4,1,True,"{'knob': 'p', 'value': 2.0}",2.0,p,2.0,,,,,,,,,
0.904,48,52,-521.4934834137013,308.30012102450206,1.0,29.242,0.05434103865368271,,bnn_E2_p0.6_seed0_v2,bnn,E2,0,927.0,351.5,1,True,"{'knob': 'p', 'value': 0.6}",0.6,p,0.6,,,,,,,,,
0.62,48,52,-691.0615801233288,684.9826325587838,0.572,97.622,,,baseline_E3_p30_seed0_v2,baseline,E3,0,1184.2,409.9,1,True,"{'knob': 'p', 'value': 30.0}",30.0,p,30.0,,,,,,,,,
0.856,51,49,-140.81610745868673,80.94674589180019,1.0,28.46,,,lagr_E3_epsilon0.02_seed1_v2,lagr,E3,1,1109.8,441.0,1,True,"{'knob': 'epsilon', 'value': 0.02}",,epsilon,0.02,2.5417999999999994,0.02,zone,0.074,0.074,0.15687261509921324,False,301.0,1.0
0.9,48,52,-151.52241450479667,79.2271939146926,1.0,30.99,,,lagr_E3_epsilon0.02_seed0_v2,lagr,E3,0,1112.3,410.7,1,True,"{'knob': 'epsilon', 'value': 0.02}",,epsilon,0.02,2.584599999999998,0.02,zone,0.046,0.046,0.10921656219597037,False,301.0,1.0
0.596,52,48,-561.0089425635468,658.0276002875526,0.664,80.19,,,baseline_E3_p30_seed1_v2,baseline,E3,1,1159.6,411.0,1,True,"{'knob': 'p', 'value': 30.0}",30.0,p,30.0,,,,,,,,,
