timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,46.97,65.04,0.0127,6.3,nan,nan,nan,nan
20000,26.43,54.37,0.0213,10.7,nan,nan,nan,nan
30000,47.83,59.79,0.0126,6.3,nan,nan,nan,nan
40000,61.80,22.10,0.0760,38.0,nan,nan,nan,nan
50000,81.19,37.07,0.0224,11.2,nan,nan,nan,nan
60000,26.43,129.56,0.0182,8.5,nan,nan,nan,nan
70000,89.11,46.55,0.0239,11.9,nan,nan,nan,nan
80000,83.21,71.49,0.0087,3.3,nan,nan,nan,nan
90000,28.56,189.53,0.0155,7.7,nan,nan,nan,nan
100000,169.78,93.27,0.0263,10.0,nan,nan,nan,nan
110000,178.14,88.34,0.0240,10.0,nan,nan,nan,nan
120000,191.94,109.08,0.0195,6.6,nan,nan,nan,nan
130000,135.66,148.27,0.0135,5.5,nan,nan,nan,nan
140000,149.80,125.03,0.0228,8.9,nan,nan,nan,nan
150000,180.44,144.25,0.0256,10.7,nan,nan,nan,nan
160000,202.48,74.58,0.0285,8.5,nan,nan,nan,nan
170000,244.58,40.73,0.0227,7.4,nan,nan,nan,nan
180000,211.64,68.95,0.0279,8.9,nan,nan,nan,nan
190000,189.85,103.00,0.0271,7.4,nan,nan,nan,nan
200000,231.35,69.76,0.0489,11.7,nan,nan,nan,nan
210000,234.87,53.80,0.0287,6.3,nan,nan,nan,nan
220000,235.79,40.83,0.0187,4.2,nan,nan,nan,nan
230000,196.13,74.52,0.0234,5.0,nan,nan,nan,nan
240000,241.05,62.50,0.0318,5.9,nan,nan,nan,nan
250000,239.38,54.07,0.0092,2.1,nan,nan,nan,nan
260000,251.16,33.78,0.0384,7.3,nan,nan,nan,nan
270000,261.23,19.79,0.0462,8.9,nan,nan,nan,nan
280000,256.35,27.06,0.0311,6.0,nan,nan,nan,nan
290000,246.45,52.07,0.0272,5.6,nan,nan,nan,nan
300000,249.78,41.19,0.0282,5.5,nan,nan,nan,nan
