timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,6.03,24.32,0.0117,5.9,nan,nan,nan,nan
20000,11.34,50.48,0.1075,29.7,nan,nan,nan,nan
30000,31.68,61.60,0.0341,16.9,nan,nan,nan,nan
40000,45.45,33.60,0.1628,81.4,nan,nan,nan,nan
50000,10.65,27.71,0.0149,7.5,nan,nan,nan,nan
60000,22.95,43.43,0.0567,28.4,nan,nan,nan,nan
70000,74.59,51.09,0.0322,16.0,nan,nan,nan,nan
80000,68.49,25.59,0.0150,7.5,nan,nan,nan,nan
90000,65.54,27.41,0.0164,8.2,nan,nan,nan,nan
100000,65.76,101.88,0.0398,7.2,nan,nan,nan,nan
110000,68.91,85.20,0.0229,9.1,nan,nan,nan,nan
120000,85.50,34.85,0.0078,3.9,nan,nan,nan,nan
130000,100.62,48.18,0.0268,13.3,nan,nan,nan,nan
140000,133.40,70.97,0.0341,12.5,nan,nan,nan,nan
150000,128.65,76.80,0.0322,13.5,nan,nan,nan,nan
160000,116.73,77.21,0.0265,12.6,nan,nan,nan,nan
170000,242.03,66.00,0.0255,8.0,nan,nan,nan,nan
180000,218.69,82.89,0.0465,10.5,nan,nan,nan,nan
190000,221.64,97.93,0.0339,6.3,nan,nan,nan,nan
200000,247.81,71.06,0.0616,10.9,nan,nan,nan,nan
210000,237.52,55.11,0.0216,4.4,nan,nan,nan,nan
220000,200.42,96.05,0.0175,3.7,nan,nan,nan,nan
230000,238.51,81.48,0.0331,6.7,nan,nan,nan,nan
240000,244.64,72.29,0.0478,10.0,nan,nan,nan,nan
250000,261.07,47.21,0.0275,4.8,nan,nan,nan,nan
260000,260.01,67.78,0.0469,8.0,nan,nan,nan,nan
270000,277.61,14.58,0.0516,8.7,nan,nan,nan,nan
280000,276.83,18.18,0.0344,6.0,nan,nan,nan,nan
290000,280.00,19.46,0.0314,4.8,nan,nan,nan,nan
300000,275.12,23.15,0.0334,5.8,nan,nan,nan,nan
