step,alpha,constraint_C
500,6.3943,0.1494
1000,6.9540,0.0660
1500,6.8540,0.0000
2000,6.9693,0.0215
2500,6.8693,0.0000
3000,7.2428,0.0473
3500,7.1610,0.0018
4000,8.9475,0.1886
4500,8.8475,0.0000
5000,9.1395,0.0392
5500,10.7547,0.1715
6000,10.6562,0.0002
6500,10.5562,0.0000
7000,10.4897,0.0034
7500,10.3897,0.0000
8000,10.2897,0.0000
8500,10.1897,0.0000
9000,10.0897,0.0000
9500,9.9897,0.0000
10000,9.8897,0.0000
10500,9.7897,0.0000
11000,9.6897,0.0000
11500,9.5897,0.0000
12000,10.6120,0.1122
12500,11.6004,0.1088
13000,11.6834,0.0183
13500,13.6003,0.2017
14000,14.4601,0.0960
14500,14.3863,0.0026
15000,14.5228,0.0237
15500,14.7707,0.0348
16000,14.6707,0.0000
16500,14.5707,0.0000
17000,14.4707,0.0000
17500,14.3707,0.0000
18000,14.2707,0.0000
18500,14.1707,0.0000
19000,14.0707,0.0000
19500,13.9707,0.0000
20000,13.8707,0.0000
20500,13.7707,0.0000
21000,13.6707,0.0000
21500,13.5707,0.0000
22000,13.4707,0.0000
22500,13.3707,0.0000
23000,13.2707,0.0000
23500,13.1707,0.0000
24000,13.0707,0.0000
24500,12.9707,0.0000
25000,12.8707,0.0000
25500,12.7707,0.0000
26000,12.6707,0.0000
26500,12.5707,0.0000
27000,12.4707,0.0000
27500,12.3707,0.0000
28000,12.2707,0.0000
28500,12.1707,0.0000
29000,12.2344,0.0164
29500,12.1344,0.0000
30000,12.0344,0.0000
30500,11.9344,0.0000
31000,11.8344,0.0000
31500,11.7344,0.0000
32000,11.6344,0.0000
32500,11.5344,0.0000
33000,11.4344,0.0000
33500,11.3344,0.0000
34000,11.2482,0.0014
34500,12.4442,0.1296
35000,12.3442,0.0000
35500,12.2442,0.0000
36000,12.1442,0.0000
36500,12.0442,0.0000
37000,11.9442,0.0000
37500,11.8442,0.0000
38000,11.7442,0.0000
38500,11.6442,0.0000
39000,11.7335,0.0189
39500,11.6335,0.0000
40000,11.5335,0.0000
40500,11.4335,0.0000
41000,11.4900,0.0156
41500,11.3900,0.0000
42000,11.2900,0.0000
42500,11.1900,0.0000
43000,11.0900,0.0000
43500,10.9900,0.0000
44000,10.8900,0.0000
44500,10.7900,0.0000
45000,10.6900,0.0000
45500,10.9925,0.0403
46000,11.2220,0.0330
46500,11.1220,0.0000
47000,11.3149,0.0293
47500,12.0009,0.0786
48000,11.9009,0.0000
48500,11.8009,0.0000
49000,13.1057,0.1405
49500,14.5734,0.1568
50000,14.4734,0.0000
50500,14.3734,0.0000
51000,14.2734,0.0000
51500,14.2036,0.0030
52000,16.7423,0.2639
52500,16.6423,0.0000
53000,16.5423,0.0000
53500,16.4423,0.0000
54000,16.3423,0.0000
54500,16.2423,0.0000
55000,16.1423,0.0000
55500,16.1964,0.0154
56000,16.0964,0.0000
56500,15.9964,0.0000
57000,15.8964,0.0000
57500,15.7964,0.0000
58000,15.6964,0.0000
58500,15.5964,0.0000
59000,15.4964,0.0000
59500,15.3964,0.0000
60000,15.2964,0.0000
60500,15.1964,0.0000
61000,15.0964,0.0000
61500,14.9964,0.0000
62000,14.8964,0.0000
62500,14.7964,0.0000
63000,14.6964,0.0000
63500,14.6064,0.0010
64000,14.5064,0.0000
64500,14.4064,0.0000
65000,14.3347,0.0028
65500,14.2347,0.0000
66000,14.1347,0.0000
66500,14.0396,0.0005
67000,13.9396,0.0000
67500,14.9374,0.1098
68000,14.8374,0.0000
68500,14.8205,0.0083
69000,16.6513,0.1931
69500,16.5513,0.0000
70000,16.4513,0.0000
70500,17.2349,0.0884
71000,17.8137,0.0679
71500,17.7137,0.0000
72000,17.6137,0.0000
72500,17.5137,0.0000
73000,17.4137,0.0000
73500,17.3137,0.0000
74000,17.2178,0.0004
74500,17.1178,0.0000
75000,17.0178,0.0000
75500,16.9178,0.0000
76000,16.8178,0.0000
76500,16.7178,0.0000
77000,16.6178,0.0000
77500,16.5178,0.0000
78000,16.4178,0.0000
78500,16.3178,0.0000
79000,16.2178,0.0000
79500,16.1178,0.0000
80000,16.0178,0.0000
80500,15.9178,0.0000
81000,15.8178,0.0000
81500,15.7178,0.0000
82000,15.6178,0.0000
82500,15.5321,0.0014
83000,15.4321,0.0000
83500,15.3321,0.0000
84000,15.2321,0.0000
84500,15.1321,0.0000
85000,15.0321,0.0000
85500,14.9321,0.0000
86000,14.8321,0.0000
86500,14.7321,0.0000
87000,14.6321,0.0000
87500,14.5321,0.0000
88000,14.4321,0.0000
88500,14.3321,0.0000
89000,14.2321,0.0000
89500,14.1321,0.0000
90000,14.0321,0.0000
90500,13.9321,0.0000
91000,13.8321,0.0000
91500,13.7345,0.0002
92000,13.6345,0.0000
92500,13.6114,0.0077
93000,13.5114,0.0000
93500,13.4114,0.0000
94000,13.3114,0.0000
94500,13.2114,0.0000
95000,13.1114,0.0000
95500,13.0114,0.0000
96000,12.9114,0.0000
96500,12.8114,0.0000
97000,12.7114,0.0000
97500,12.6114,0.0000
98000,12.5215,0.0010
98500,12.4215,0.0000
99000,12.3215,0.0000
99500,12.2215,0.0000
100000,12.1217,0.0000
100500,12.0217,0.0000
101000,11.9217,0.0000
101500,11.8217,0.0000
102000,11.7217,0.0000
102500,11.6217,0.0000
103000,11.5217,0.0000
103500,11.4217,0.0000
104000,11.3217,0.0000
104500,11.2457,0.0024
105000,11.1457,0.0000
105500,11.0457,0.0000
106000,10.9457,0.0000
106500,10.8457,0.0000
107000,10.7457,0.0000
107500,10.6457,0.0000
108000,10.5457,0.0000
108500,10.6118,0.0166
109000,10.5118,0.0000
109500,11.1039,0.0692
110000,11.0039,0.0000
110500,10.9039,0.0000
111000,10.8039,0.0000
111500,10.7039,0.0000
112000,10.6039,0.0000
112500,10.5039,0.0000
113000,10.4039,0.0000
113500,10.3039,0.0000
114000,10.2039,0.0000
114500,10.1039,0.0000
115000,10.1454,0.0142
115500,10.5346,0.0489
116000,10.4346,0.0000
116500,10.3346,0.0000
117000,10.2346,0.0000
117500,10.1346,0.0000
118000,10.0346,0.0000
118500,9.9346,0.0000
119000,9.8346,0.0000
119500,9.7346,0.0000
120000,9.6346,0.0000
120500,9.5346,0.0000
121000,9.4346,0.0000
121500,9.3944,0.0060
122000,9.2944,0.0000
122500,9.1944,0.0000
123000,9.0944,0.0000
123500,8.9944,0.0000
124000,8.8944,0.0000
124500,8.7944,0.0000
125000,8.6944,0.0000
125500,8.5944,0.0000
126000,8.7565,0.0262
126500,11.3389,0.2682
127000,11.2828,0.0044
127500,11.2223,0.0040
128000,11.1223,0.0000
128500,11.0223,0.0000
129000,10.9223,0.0000
129500,10.8223,0.0000
130000,10.7223,0.0000
130500,10.6223,0.0000
131000,10.5223,0.0000
131500,10.4223,0.0000
132000,10.3223,0.0000
132500,10.2223,0.0000
133000,10.2221,0.0100
133500,10.1221,0.0000
134000,10.0221,0.0000
134500,9.9221,0.0000
135000,9.8221,0.0000
135500,9.7221,0.0000
136000,9.6221,0.0000
136500,9.5221,0.0000
137000,9.4221,0.0000
137500,9.3221,0.0000
138000,9.2221,0.0000
138500,9.1221,0.0000
139000,9.0221,0.0000
139500,8.9221,0.0000
140000,8.8221,0.0000
140500,8.7221,0.0000
141000,8.6221,0.0000
141500,8.5221,0.0000
142000,8.4221,0.0000
142500,8.3221,0.0000
143000,8.2230,0.0001
143500,8.1230,0.0000
144000,8.0230,0.0000
144500,7.9230,0.0000
145000,7.8230,0.0000
145500,7.7230,0.0000
146000,7.6230,0.0000
146500,7.5230,0.0000
147000,7.4230,0.0000
147500,7.3230,0.0000
