update,alpha,constraint_C
0,1.0108,0.112
1,1.0162,0.058
2,1.0208,0.05
3,1.0204,0.0
4,1.0492,0.292
5,1.0814,0.326
6,1.0883999999999998,0.074
7,1.0941999999999998,0.062
8,1.0987999999999998,0.05
9,1.1007999999999998,0.024
10,1.1029999999999998,0.026
11,1.1075999999999997,0.05
12,1.1161999999999996,0.09
13,1.1171999999999995,0.014
14,1.1263999999999996,0.096
15,1.1275999999999997,0.016
16,1.1301999999999996,0.03
17,1.1313999999999997,0.016
18,1.1345999999999998,0.036
19,1.1375999999999997,0.034
20,1.1409999999999998,0.038
21,1.1431999999999998,0.026
22,1.1461999999999997,0.034
23,1.1479999999999997,0.022
24,1.1497999999999997,0.022
25,1.1523999999999996,0.03
26,1.1543999999999996,0.024
27,1.1561999999999997,0.022
28,1.1577999999999997,0.02
29,1.1587999999999996,0.014
30,1.1637999999999995,0.054
31,1.1651999999999996,0.018
32,1.1667999999999996,0.02
33,1.1681999999999997,0.018
34,1.1711999999999996,0.034
35,1.1745999999999996,0.038
36,1.1767999999999996,0.026
37,1.1801999999999997,0.038
38,1.1821999999999997,0.024
39,1.1851999999999996,0.034
40,1.1875999999999995,0.028
41,1.1891999999999996,0.02
42,1.1905999999999997,0.018
43,1.1919999999999997,0.018
44,1.1957999999999998,0.042
45,1.1971999999999998,0.018
46,1.1977999999999998,0.01
47,1.2009999999999998,0.036
48,1.2053999999999998,0.048
49,1.2071999999999998,0.022
50,1.2084,0.016
51,1.2093999999999998,0.014
52,1.2107999999999999,0.018
53,1.2133999999999998,0.03
54,1.2169999999999999,0.04
55,1.2197999999999998,0.032
56,1.2233999999999998,0.04
57,1.2243999999999997,0.014
58,1.2273999999999996,0.034
59,1.2293999999999996,0.024
60,1.2311999999999996,0.022
61,1.2321999999999995,0.014
62,1.2339999999999995,0.022
63,1.2361999999999995,0.026
64,1.2399999999999995,0.042
65,1.2419999999999995,0.024
66,1.2449999999999994,0.034
67,1.2463999999999995,0.018
68,1.2471999999999994,0.012
69,1.2477999999999994,0.01
70,1.2495999999999994,0.022
71,1.2501999999999993,0.01
72,1.2527999999999992,0.03
73,1.2529999999999992,0.006
74,1.2543999999999993,0.018
75,1.2571999999999992,0.032
76,1.2585999999999993,0.018
77,1.2599999999999993,0.018
78,1.2617999999999994,0.022
79,1.2629999999999995,0.016
80,1.2661999999999995,0.036
81,1.2681999999999995,0.024
82,1.2711999999999994,0.034
83,1.2745999999999995,0.038
84,1.2779999999999996,0.038
85,1.2787999999999995,0.012
86,1.2805999999999995,0.022
87,1.2839999999999996,0.038
88,1.2867999999999995,0.032
89,1.2883999999999995,0.02
90,1.2901999999999996,0.022
91,1.2935999999999996,0.038
92,1.2977999999999996,0.046
93,1.2993999999999997,0.02
94,1.3027999999999997,0.038
95,1.3049999999999997,0.026
96,1.3089999999999997,0.044
97,1.3105999999999998,0.02
98,1.3127999999999997,0.026
99,1.3147999999999997,0.024
100,1.3179999999999998,0.036
101,1.3201999999999998,0.026
102,1.3239999999999998,0.042
103,1.3263999999999998,0.028
104,1.3279999999999998,0.02
105,1.3294,0.018
106,1.333,0.04
107,1.3337999999999999,0.012
108,1.3377999999999999,0.044
109,1.3387999999999998,0.014
110,1.3425999999999998,0.042
111,1.3439999999999999,0.018
112,1.3469999999999998,0.034
113,1.3465999999999998,0.0
114,1.3485999999999998,0.024
115,1.3501999999999998,0.02
