update,alpha,constraint_C
0,1.108,0.112
1,1.1620000000000001,0.058
2,1.2080000000000002,0.05
3,1.2040000000000002,0.0
4,1.4900000000000002,0.29
5,1.874,0.388
6,1.9840000000000002,0.114
7,2.0580000000000003,0.078
8,2.1,0.046
9,2.12,0.024
10,2.144,0.028
11,2.188,0.048
12,2.27,0.086
13,2.28,0.014
14,2.3579999999999997,0.082
15,2.3699999999999997,0.016
16,2.3939999999999997,0.028
17,2.4059999999999997,0.016
18,2.4339999999999997,0.032
19,2.4579999999999997,0.028
20,2.4879999999999995,0.034
21,2.5099999999999993,0.026
22,2.5379999999999994,0.032
23,2.5579999999999994,0.024
24,2.575999999999999,0.022
25,2.601999999999999,0.03
26,2.621999999999999,0.024
27,2.639999999999999,0.022
28,2.655999999999999,0.02
29,2.6659999999999986,0.014
30,2.7199999999999984,0.058
31,2.733999999999998,0.018
32,2.7499999999999982,0.02
33,2.763999999999998,0.018
34,2.795999999999998,0.036
35,2.829999999999998,0.038
36,2.853999999999998,0.028
37,2.885999999999998,0.036
38,2.9039999999999977,0.022
39,2.9339999999999975,0.034
40,2.9539999999999975,0.024
41,2.9679999999999973,0.018
42,2.9839999999999973,0.02
43,2.997999999999997,0.018
44,3.035999999999997,0.042
45,3.0499999999999967,0.018
46,3.0539999999999967,0.008
47,3.0799999999999965,0.03
48,3.1259999999999963,0.05
49,3.1459999999999964,0.024
50,3.1579999999999964,0.016
51,3.1659999999999964,0.012
52,3.179999999999996,0.018
53,3.205999999999996,0.03
54,3.241999999999996,0.04
55,3.269999999999996,0.032
56,3.295999999999996,0.03
57,3.3099999999999956,0.018
58,3.3379999999999956,0.032
59,3.3539999999999957,0.02
60,3.3739999999999957,0.024
61,3.3819999999999957,0.012
62,3.3979999999999957,0.02
63,3.4199999999999955,0.026
64,3.4499999999999953,0.034
65,3.471999999999995,0.026
66,3.501999999999995,0.034
67,3.517999999999995,0.02
68,3.525999999999995,0.012
69,3.5319999999999947,0.01
70,3.5499999999999945,0.022
71,3.5539999999999945,0.008
72,3.5739999999999945,0.024
73,3.5759999999999943,0.006
74,3.589999999999994,0.018
75,3.617999999999994,0.032
76,3.633999999999994,0.02
77,3.649999999999994,0.02
78,3.667999999999994,0.022
79,3.6819999999999937,0.018
80,3.7159999999999935,0.038
81,3.7359999999999935,0.024
82,3.7599999999999936,0.028
83,3.7959999999999936,0.04
84,3.8319999999999936,0.04
85,3.8399999999999936,0.012
86,3.8639999999999937,0.028
87,3.8919999999999937,0.032
88,3.9199999999999937,0.032
89,3.9299999999999935,0.014
90,3.9539999999999935,0.028
91,3.9799999999999933,0.03
92,4.023999999999993,0.048
93,4.039999999999993,0.02
94,4.0679999999999925,0.032
95,4.0919999999999925,0.028
96,4.131999999999993,0.044
97,4.149999999999992,0.022
98,4.169999999999992,0.024
99,4.183999999999992,0.018
100,4.205999999999992,0.026
101,4.225999999999992,0.024
102,4.263999999999992,0.042
103,4.281999999999992,0.022
104,4.293999999999992,0.016
105,4.309999999999992,0.02
106,4.343999999999991,0.038
107,4.351999999999991,0.012
108,4.389999999999992,0.042
109,4.397999999999992,0.012
110,4.433999999999991,0.04
111,4.443999999999991,0.014
112,4.465999999999991,0.026
113,4.461999999999992,0.0
114,4.4799999999999915,0.022
115,4.495999999999992,0.02
116,4.519999999999992,0.028
117,4.545999999999991,0.03
118,4.565999999999991,0.024
119,4.587999999999991,0.026
120,4.605999999999991,0.022
121,4.623999999999991,0.022
122,4.657999999999991,0.038
123,4.665999999999991,0.012
124,4.70799999999999,0.046
125,4.71999999999999,0.016
126,4.72999999999999,0.014
127,4.74399999999999,0.018
128,4.75399999999999,0.014
129,4.76999999999999,0.02
130,4.781999999999989,0.016
131,4.807999999999989,0.03
132,4.833999999999989,0.03
133,4.8459999999999885,0.016
134,4.885999999999989,0.044
135,4.893999999999989,0.012
136,4.903999999999988,0.014
137,4.919999999999988,0.02
138,4.955999999999988,0.04
139,4.969999999999988,0.018
140,4.987999999999988,0.022
141,4.999999999999988,0.016
142,5.029999999999988,0.034
143,5.047999999999988,0.022
144,5.063999999999988,0.02
145,5.083999999999987,0.024
146,5.101999999999987,0.022
147,5.109999999999987,0.012
148,5.143999999999987,0.038
149,5.157999999999987,0.018
150,5.197999999999987,0.044
151,5.203999999999987,0.01
152,5.215999999999987,0.016
153,5.235999999999986,0.024
154,5.279999999999986,0.048
155,5.297999999999986,0.022
156,5.317999999999985,0.024
157,5.337999999999985,0.024
158,5.355999999999985,0.022
159,5.369999999999985,0.018
160,5.397999999999985,0.032
161,5.407999999999984,0.014
162,5.435999999999984,0.032
163,5.457999999999984,0.026
164,5.493999999999984,0.04
165,5.517999999999984,0.028
166,5.545999999999983,0.032
167,5.557999999999983,0.016
168,5.575999999999983,0.022
169,5.599999999999983,0.028
170,5.625999999999983,0.03
171,5.639999999999983,0.018
172,5.655999999999983,0.02
173,5.675999999999982,0.024
174,5.693999999999982,0.022
175,5.715999999999982,0.026
176,5.731999999999982,0.02
177,5.7399999999999824,0.012
178,5.759999999999982,0.024
179,5.777999999999982,0.022
180,5.805999999999981,0.032
181,5.835999999999982,0.034
182,5.8699999999999815,0.038
183,5.873999999999981,0.008
184,5.899999999999981,0.03
185,5.905999999999981,0.01
186,5.943999999999981,0.042
187,5.9579999999999815,0.018
188,5.967999999999981,0.014
189,5.9819999999999816,0.018
190,6.001999999999981,0.024
191,6.003999999999981,0.006
192,6.029999999999981,0.03
193,6.035999999999981,0.01
194,6.049999999999981,0.018
195,6.067999999999981,0.022
196,6.101999999999981,0.038
197,6.12199999999998,0.024
198,6.14199999999998,0.024
199,6.16599999999998,0.028
200,6.18799999999998,0.026
201,6.21199999999998,0.028
202,6.23799999999998,0.03
203,6.26199999999998,0.028
204,6.28999999999998,0.032
205,6.307999999999979,0.022
206,6.327999999999979,0.024
207,6.333999999999979,0.01
208,6.365999999999979,0.036
209,6.385999999999979,0.024
210,6.399999999999979,0.018
211,6.405999999999979,0.01
212,6.423999999999979,0.022
213,6.439999999999979,0.02
214,6.441999999999979,0.006
215,6.451999999999979,0.014
216,6.483999999999979,0.036
217,6.497999999999979,0.018
218,6.519999999999979,0.026
219,6.529999999999979,0.014
220,6.561999999999979,0.036
221,6.579999999999979,0.022
222,6.593999999999979,0.018
223,6.615999999999979,0.026
224,6.643999999999979,0.032
225,6.649999999999979,0.01
226,6.667999999999979,0.022
227,6.671999999999978,0.008
228,6.693999999999979,0.026
229,6.699999999999979,0.01
230,6.717999999999979,0.022
231,6.733999999999979,0.02
232,6.741999999999979,0.012
233,6.765999999999979,0.028
234,6.7839999999999785,0.022
235,6.8079999999999785,0.028
236,6.829999999999979,0.026
237,6.841999999999978,0.016
238,6.873999999999978,0.036
239,6.889999999999978,0.02
240,6.907999999999978,0.022
241,6.923999999999978,0.02
242,6.933999999999978,0.014
243,6.947999999999978,0.018
244,6.973999999999978,0.03
245,6.995999999999978,0.026
246,6.995999999999978,0.004
247,7.007999999999978,0.016
248,7.041999999999978,0.038
249,7.043999999999977,0.006
250,7.061999999999977,0.022
251,7.071999999999977,0.014
252,7.073999999999977,0.006
253,7.0839999999999765,0.014
254,7.109999999999976,0.03
255,7.129999999999976,0.024
256,7.153999999999976,0.028
257,7.171999999999976,0.022
258,7.199999999999975,0.032
259,7.217999999999975,0.022
260,7.241999999999975,0.028
261,7.243999999999975,0.006
262,7.2639999999999745,0.024
263,7.285999999999975,0.026
264,7.305999999999974,0.024
265,7.321999999999974,0.02
266,7.3359999999999745,0.018
267,7.353999999999974,0.022
268,7.371999999999974,0.022
269,7.389999999999974,0.022
270,7.407999999999974,0.022
271,7.423999999999974,0.02
272,7.451999999999973,0.032
273,7.463999999999973,0.016
274,7.493999999999973,0.034
275,7.503999999999973,0.014
276,7.5319999999999725,0.032
277,7.553999999999973,0.026
278,7.5719999999999725,0.022
