timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-13.00,83.91,0.1478,73.8,nan,nan,nan,nan
20000,25.79,25.81,0.4246,212.3,nan,nan,nan,nan
30000,25.03,24.09,0.7080,354.0,nan,nan,nan,nan
40000,24.71,21.45,0.3019,151.0,nan,nan,nan,nan
50000,0.77,71.51,0.1329,53.2,nan,nan,nan,nan
60000,44.44,113.40,0.0702,21.3,nan,nan,nan,nan
70000,76.61,158.37,0.0790,26.7,nan,nan,nan,nan
80000,149.54,137.74,0.0667,25.2,nan,nan,nan,nan
90000,43.55,95.46,0.0718,17.8,nan,nan,nan,nan
100000,204.66,86.45,0.0755,28.8,nan,nan,nan,nan
110000,186.27,101.70,0.0744,23.4,nan,nan,nan,nan
120000,78.13,76.08,0.0566,25.5,nan,nan,nan,nan
130000,81.86,72.77,0.0538,24.8,nan,nan,nan,nan
140000,163.38,102.70,0.0685,24.1,nan,nan,nan,nan
150000,175.33,91.73,0.0630,23.6,nan,nan,nan,nan
160000,167.75,109.49,0.0695,22.9,nan,nan,nan,nan
170000,189.99,108.30,0.0741,22.4,nan,nan,nan,nan
180000,209.55,103.90,0.0769,18.2,nan,nan,nan,nan
190000,159.59,120.88,0.0657,18.7,nan,nan,nan,nan
200000,188.42,95.53,0.0601,16.0,nan,nan,nan,nan
210000,185.48,110.37,0.0579,16.6,nan,nan,nan,nan
220000,185.99,127.40,0.0641,15.4,nan,nan,nan,nan
230000,254.78,32.25,0.0634,16.3,nan,nan,nan,nan
240000,238.96,50.01,0.0562,16.1,nan,nan,nan,nan
250000,218.52,63.39,0.0770,23.7,nan,nan,nan,nan
260000,241.15,47.27,0.0594,17.1,nan,nan,nan,nan
270000,251.30,39.26,0.0570,15.1,nan,nan,nan,nan
280000,242.84,54.48,0.0767,21.7,nan,nan,nan,nan
290000,257.73,75.48,0.0756,17.4,nan,nan,nan,nan
300000,252.48,54.43,0.0754,16.4,nan,nan,nan,nan
