update,alpha,constraint_C
0,1.0424,0.474
1,1.0484,0.11
2,1.0598,0.164
3,1.088,0.332
4,1.1498000000000002,0.668
5,1.1932000000000003,0.484
6,1.2150000000000003,0.268
7,1.2368000000000003,0.268
8,1.2372000000000003,0.054
9,1.2362000000000004,0.04
10,1.2422000000000004,0.11
11,1.2398000000000005,0.026
12,1.2444000000000004,0.096
13,1.2452000000000003,0.058
14,1.2500000000000002,0.098
15,1.2544000000000002,0.094
16,1.2548000000000001,0.054
17,1.2570000000000001,0.072
18,1.2622000000000002,0.102
19,1.2624000000000002,0.052
20,1.2710000000000001,0.136
21,1.2710000000000001,0.05
22,1.2776,0.116
23,1.2764,0.038
24,1.2812,0.098
25,1.279,0.028
26,1.2826,0.086
27,1.2828,0.052
28,1.2852,0.074
29,1.2853999999999999,0.052
30,1.2804,0.0
31,1.2788,0.034
32,1.2793999999999999,0.056
33,1.2773999999999999,0.03
34,1.2795999999999998,0.072
35,1.279,0.044
36,1.2857999999999998,0.118
37,1.2872,0.064
38,1.2884,0.062
39,1.288,0.046
40,1.2958,0.128
41,1.2958,0.05
42,1.3016,0.108
43,1.3022,0.056
44,1.2996,0.024
45,1.3022,0.076
46,1.306,0.088
47,1.3044,0.034
48,1.3098,0.104
49,1.3112000000000001,0.064
50,1.3130000000000002,0.068
51,1.3136,0.056
52,1.3158,0.072
53,1.3162,0.054
54,1.3216,0.104
55,1.3216,0.05
56,1.326,0.094
57,1.3248,0.038
58,1.3266,0.068
59,1.33,0.084
60,1.335,0.1
61,1.3344,0.044
62,1.339,0.096
63,1.3397999999999999,0.058
64,1.3401999999999998,0.054
65,1.3376,0.024
66,1.3368,0.042
67,1.3318,0.0
68,1.3350000000000002,0.082
69,1.3368000000000002,0.068
70,1.3348000000000002,0.03
71,1.3382000000000003,0.084
72,1.3416000000000003,0.084
73,1.3408000000000004,0.042
74,1.3432000000000004,0.074
75,1.3444000000000005,0.062
76,1.3478000000000006,0.084
77,1.3482000000000005,0.054
78,1.3484000000000005,0.052
79,1.3500000000000005,0.066
80,1.3540000000000005,0.09
81,1.3552000000000006,0.062
82,1.3584000000000007,0.082
83,1.3556000000000008,0.022
84,1.3592000000000009,0.086
85,1.360600000000001,0.064
86,1.364400000000001,0.088
87,1.368600000000001,0.092
88,1.3716000000000008,0.08
89,1.3730000000000009,0.064
90,1.3740000000000008,0.06
91,1.3714000000000008,0.024
92,1.3774000000000008,0.11
93,1.3796000000000008,0.072
94,1.3820000000000008,0.074
95,1.3836000000000008,0.066
96,1.386800000000001,0.082
97,1.3874000000000009,0.056
98,1.390600000000001,0.082
99,1.390600000000001,0.05
100,1.3934000000000009,0.078
101,1.3936000000000008,0.052
102,1.3974000000000009,0.088
103,1.399000000000001,0.066
104,1.3994000000000009,0.054
105,1.400600000000001,0.062
106,1.402400000000001,0.068
107,1.404200000000001,0.068
108,1.408000000000001,0.088
109,1.408400000000001,0.054
110,1.410600000000001,0.072
111,1.4136000000000009,0.08
112,1.4186000000000007,0.1
113,1.4208000000000007,0.072
114,1.4252000000000007,0.094
115,1.4268000000000007,0.066
116,1.4306000000000008,0.088
117,1.4326000000000008,0.07
118,1.4326000000000008,0.05
119,1.4300000000000008,0.024
120,1.433200000000001,0.082
121,1.4342000000000008,0.06
122,1.4396000000000009,0.104
123,1.437400000000001,0.028
124,1.4380000000000008,0.056
125,1.441200000000001,0.082
126,1.447200000000001,0.11
127,1.447200000000001,0.05
128,1.451000000000001,0.088
129,1.451600000000001,0.056
130,1.4560000000000008,0.094
131,1.453400000000001,0.024
132,1.457400000000001,0.09
133,1.459400000000001,0.07
134,1.462800000000001,0.084
135,1.465200000000001,0.074
136,1.471000000000001,0.108
137,1.470600000000001,0.046
138,1.470400000000001,0.048
139,1.4676000000000011,0.022
140,1.472600000000001,0.1
141,1.4696000000000011,0.02
142,1.4708000000000012,0.062
143,1.4692000000000012,0.034
144,1.474200000000001,0.1
145,1.4732000000000012,0.04
146,1.4784000000000013,0.102
147,1.4792000000000012,0.058
148,1.4826000000000013,0.084
149,1.4842000000000013,0.066
150,1.4872000000000012,0.08
151,1.4924000000000013,0.102
152,1.4936000000000014,0.062
153,1.4952000000000014,0.066
154,1.4988000000000015,0.086
155,1.4970000000000014,0.032
156,1.5024000000000015,0.104
157,1.5028000000000015,0.054
158,1.5042000000000015,0.064
159,1.5058000000000016,0.066
160,1.5048000000000017,0.04
161,1.5042000000000018,0.044
162,1.5104000000000017,0.112
163,1.5076000000000018,0.022
164,1.5124000000000017,0.098
165,1.5130000000000017,0.056
166,1.5136000000000016,0.056
167,1.5110000000000017,0.024
168,1.5156000000000016,0.096
169,1.5134000000000016,0.028
170,1.5162000000000015,0.078
171,1.5148000000000015,0.036
172,1.5122000000000015,0.024
173,1.5112000000000017,0.04
174,1.5162000000000015,0.1
175,1.5146000000000015,0.034
176,1.5174000000000014,0.078
177,1.5194000000000014,0.07
178,1.5226000000000015,0.082
179,1.5240000000000016,0.064
180,1.5290000000000015,0.1
181,1.5274000000000014,0.034
182,1.5310000000000015,0.086
183,1.5314000000000014,0.054
184,1.5340000000000014,0.076
185,1.5344000000000013,0.054
186,1.5366000000000013,0.072
187,1.5380000000000014,0.064
188,1.5454000000000014,0.124
189,1.5478000000000014,0.074
190,1.5468000000000015,0.04
191,1.5486000000000015,0.068
192,1.5548000000000015,0.112
193,1.5534000000000014,0.036
194,1.5578000000000014,0.094
195,1.5580000000000014,0.052
196,1.5612000000000015,0.082
197,1.5612000000000015,0.05
198,1.5636000000000014,0.074
199,1.5660000000000014,0.074
200,1.5676000000000014,0.066
201,1.5682000000000014,0.056
202,1.5716000000000014,0.084
203,1.5712000000000015,0.046
204,1.5756000000000014,0.094
205,1.5772000000000015,0.066
206,1.5790000000000015,0.068
207,1.5806000000000016,0.066
208,1.5836000000000015,0.08
209,1.5814000000000015,0.028
210,1.5852000000000015,0.088
211,1.5856000000000015,0.054
212,1.5902000000000014,0.096
213,1.5926000000000013,0.074
214,1.5954000000000013,0.078
215,1.5952000000000013,0.048
216,1.5992000000000013,0.09
217,1.5994000000000013,0.052
218,1.6042000000000012,0.098
219,1.6028000000000011,0.036
220,1.607000000000001,0.092
221,1.607600000000001,0.056
222,1.607600000000001,0.05
223,1.604400000000001,0.018
224,1.607800000000001,0.084
225,1.609000000000001,0.062
226,1.6122000000000012,0.082
227,1.613000000000001,0.058
228,1.6128000000000011,0.048
229,1.6142000000000012,0.064
230,1.6158000000000012,0.066
231,1.6142000000000012,0.034
232,1.619200000000001,0.1
233,1.620200000000001,0.06
234,1.621600000000001,0.064
235,1.621000000000001,0.044
236,1.625600000000001,0.096
237,1.6310000000000011,0.104
238,1.6362000000000012,0.102
239,1.6358000000000013,0.046
240,1.6384000000000012,0.076
241,1.6400000000000012,0.066
242,1.6448000000000012,0.098
243,1.6460000000000012,0.062
244,1.6494000000000013,0.084
245,1.6492000000000013,0.048
246,1.6538000000000013,0.096
247,1.6544000000000012,0.056
248,1.657400000000001,0.08
249,1.657400000000001,0.05
250,1.660400000000001,0.08
251,1.659000000000001,0.036
252,1.662600000000001,0.086
253,1.664400000000001,0.068
254,1.665600000000001,0.062
255,1.663600000000001,0.03
256,1.6688000000000012,0.102
257,1.6710000000000012,0.072
258,1.6724000000000012,0.064
259,1.6730000000000012,0.056
260,1.673600000000001,0.056
261,1.6772000000000011,0.086
262,1.681800000000001,0.096
263,1.6792000000000011,0.024
264,1.678000000000001,0.038
265,1.676200000000001,0.032
266,1.684000000000001,0.128
267,1.682200000000001,0.032
268,1.685200000000001,0.08
269,1.6862000000000008,0.06
270,1.6864000000000008,0.052
271,1.6864000000000008,0.05
272,1.6888000000000007,0.074
273,1.6838000000000009,0.0
274,1.685400000000001,0.066
275,1.6862000000000008,0.058
276,1.6842000000000008,0.03
277,1.6844000000000008,0.052
278,1.6880000000000008,0.086
279,1.689200000000001,0.062
280,1.695200000000001,0.11
281,1.695400000000001,0.052
282,1.695200000000001,0.048
283,1.6962000000000008,0.06
284,1.6956000000000009,0.044
285,1.6940000000000008,0.034
286,1.699200000000001,0.102
287,1.699400000000001,0.052
288,1.700800000000001,0.064
289,1.701200000000001,0.054
290,1.7038000000000009,0.076
291,1.7024000000000008,0.036
292,1.7082000000000008,0.108
293,1.7102000000000008,0.07
294,1.7138000000000009,0.086
295,1.7144000000000008,0.056
296,1.7190000000000007,0.096
297,1.7172000000000007,0.032
298,1.7206000000000008,0.084
299,1.7204000000000008,0.048
