step,alpha,constraint_C
500,1.0038,0.0880
1000,1.0070,0.0820
1500,1.0174,0.1540
2000,1.0262,0.1380
2500,1.0326,0.1140
3000,1.0494,0.2180
3500,1.0676,0.2320
4000,1.0634,0.0080
4500,1.0584,0.0000
5000,1.0732,0.1980
5500,1.0918,0.2360
6000,1.0876,0.0080
6500,1.0876,0.0500
7000,1.1150,0.3240
7500,1.1210,0.1100
8000,1.1190,0.0300
8500,1.1170,0.0300
9000,1.1126,0.0060
9500,1.1270,0.1940
10000,1.1292,0.0720
10500,1.1244,0.0020
11000,1.1288,0.0940
11500,1.1238,0.0000
12000,1.1342,0.1540
12500,1.1410,0.1180
13000,1.1360,0.0000
13500,1.1558,0.2480
14000,1.1646,0.1380
14500,1.1596,0.0000
15000,1.2034,0.4880
15500,1.2114,0.1300
16000,1.2386,0.3220
16500,1.2336,0.0000
17000,1.2542,0.2560
17500,1.2556,0.0640
18000,1.2876,0.3700
18500,1.2826,0.0000
19000,1.3050,0.2740
19500,1.3256,0.2560
20000,1.3206,0.0000
20500,1.3436,0.2800
21000,1.3386,0.0000
21500,1.3588,0.2520
22000,1.3600,0.0620
22500,1.3652,0.1020
23000,1.3756,0.1540
23500,1.3766,0.0600
24000,1.3842,0.1260
24500,1.3914,0.1220
25000,1.3954,0.0900
25500,1.4034,0.1300
26000,1.4064,0.0800
26500,1.4090,0.0760
27000,1.4108,0.0680
27500,1.4142,0.0840
28000,1.4150,0.0580
28500,1.4118,0.0180
29000,1.4090,0.0220
29500,1.4078,0.0380
30000,1.4050,0.0220
30500,1.4058,0.0580
31000,1.4034,0.0260
31500,1.3984,0.0000
32000,1.3988,0.0540
32500,1.3938,0.0000
33000,1.3918,0.0300
33500,1.3890,0.0220
34000,1.3862,0.0220
34500,1.3882,0.0700
35000,1.3850,0.0180
35500,1.3800,0.0000
36000,1.3770,0.0200
36500,1.3720,0.0000
37000,1.3706,0.0360
37500,1.3656,0.0000
38000,1.3624,0.0180
38500,1.3574,0.0000
39000,1.3566,0.0420
39500,1.3516,0.0000
40000,1.3492,0.0260
40500,1.3474,0.0320
41000,1.3424,0.0000
41500,1.3400,0.0260
42000,1.3378,0.0280
42500,1.3328,0.0000
43000,1.3312,0.0340
43500,1.3262,0.0000
44000,1.3254,0.0420
44500,1.3204,0.0000
45000,1.3180,0.0260
45500,1.3130,0.0000
46000,1.3112,0.0320
46500,1.3062,0.0000
47000,1.3104,0.0920
47500,1.3054,0.0000
48000,1.3032,0.0280
48500,1.2998,0.0160
49000,1.2948,0.0000
49500,1.2932,0.0340
50000,1.2882,0.0000
50500,1.2856,0.0240
51000,1.2806,0.0000
51500,1.2776,0.0200
52000,1.2726,0.0000
52500,1.2676,0.0000
53000,1.2652,0.0260
53500,1.2602,0.0000
54000,1.2576,0.0240
54500,1.2544,0.0180
55000,1.2502,0.0080
55500,1.2470,0.0180
56000,1.2444,0.0240
56500,1.2394,0.0000
57000,1.2396,0.0520
57500,1.2346,0.0000
58000,1.2322,0.0260
58500,1.2302,0.0300
59000,1.2334,0.0820
59500,1.2284,0.0000
60000,1.2264,0.0300
60500,1.2310,0.0960
61000,1.2260,0.0000
61500,1.2256,0.0460
62000,1.2206,0.0000
62500,1.2202,0.0460
63000,1.2152,0.0000
63500,1.2130,0.0280
64000,1.2080,0.0000
64500,1.2094,0.0640
65000,1.2044,0.0000
65500,1.2022,0.0280
66000,1.1972,0.0000
66500,1.1972,0.0500
67000,1.1922,0.0000
67500,1.1920,0.0480
68000,1.1870,0.0000
68500,1.1844,0.0240
69000,1.1794,0.0000
69500,1.1774,0.0300
70000,1.1724,0.0000
70500,1.1720,0.0460
71000,1.1670,0.0000
71500,1.1668,0.0480
72000,1.1618,0.0000
72500,1.1612,0.0440
73000,1.1562,0.0000
73500,1.1554,0.0420
74000,1.1504,0.0000
74500,1.1496,0.0420
75000,1.1446,0.0000
75500,1.1418,0.0220
76000,1.1368,0.0000
76500,1.1340,0.0220
77000,1.1290,0.0000
77500,1.1276,0.0360
78000,1.1226,0.0000
78500,1.1220,0.0440
79000,1.1170,0.0000
79500,1.1156,0.0360
80000,1.1106,0.0000
80500,1.1088,0.0320
81000,1.1038,0.0000
81500,1.1026,0.0380
82000,1.0976,0.0000
82500,1.0944,0.0180
83000,1.0930,0.0360
83500,1.0926,0.0460
84000,1.0876,0.0000
84500,1.0848,0.0220
85000,1.0798,0.0000
85500,1.0812,0.0640
86000,1.0762,0.0000
86500,1.0760,0.0480
87000,1.0710,0.0000
87500,1.0684,0.0240
88000,1.0634,0.0000
88500,1.0622,0.0380
89000,1.0598,0.0260
89500,1.0548,0.0000
90000,1.0520,0.0220
90500,1.0470,0.0000
91000,1.0452,0.0320
91500,1.0402,0.0000
92000,1.0390,0.0380
92500,1.0340,0.0000
93000,1.0326,0.0360
93500,1.0276,0.0000
94000,1.0254,0.0280
94500,1.0204,0.0000
95000,1.0192,0.0380
95500,1.0142,0.0000
96000,1.0132,0.0400
96500,1.0106,0.0240
97000,1.0094,0.0380
97500,1.0082,0.0380
98000,1.0068,0.0360
98500,1.0018,0.0000
99000,1.0000,0.0320
99500,0.9950,0.0000
100000,0.9944,0.0440
100500,0.9922,0.0280
101000,0.9878,0.0060
101500,0.9858,0.0300
102000,0.9808,0.0000
102500,0.9784,0.0260
103000,0.9756,0.0220
103500,0.9736,0.0300
104000,0.9712,0.0260
104500,0.9692,0.0300
105000,0.9686,0.0440
105500,0.9660,0.0240
106000,0.9650,0.0400
106500,0.9656,0.0560
107000,0.9642,0.0360
107500,0.9602,0.0100
108000,0.9632,0.0800
108500,0.9616,0.0340
109000,0.9590,0.0240
109500,0.9602,0.0620
110000,0.9646,0.0940
110500,0.9632,0.0360
111000,0.9612,0.0300
111500,0.9604,0.0420
112000,0.9594,0.0400
112500,0.9586,0.0420
113000,0.9568,0.0320
113500,0.9548,0.0300
114000,0.9530,0.0320
114500,0.9526,0.0460
115000,0.9476,0.0000
115500,0.9498,0.0720
116000,0.9482,0.0340
116500,0.9500,0.0680
117000,0.9450,0.0000
117500,0.9432,0.0320
118000,0.9414,0.0320
118500,0.9430,0.0660
119000,0.9446,0.0660
119500,0.9432,0.0360
120000,0.9416,0.0340
120500,0.9400,0.0340
121000,0.9416,0.0660
121500,0.9424,0.0580
122000,0.9444,0.0700
122500,0.9434,0.0400
123000,0.9418,0.0340
123500,0.9438,0.0700
124000,0.9466,0.0780
124500,0.9496,0.0800
125000,0.9510,0.0640
125500,0.9504,0.0440
126000,0.9488,0.0340
126500,0.9438,0.0000
127000,0.9464,0.0760
127500,0.9472,0.0580
128000,0.9592,0.1700
128500,1.0176,0.6340
129000,1.0204,0.0780
129500,1.0186,0.0320
130000,1.0228,0.0920
130500,1.0248,0.0700
131000,1.0276,0.0780
131500,1.0292,0.0660
132000,1.0312,0.0700
132500,1.0302,0.0400
133000,1.0252,0.0000
133500,1.0250,0.0480
134000,1.0308,0.1080
134500,1.0326,0.0680
135000,1.0368,0.0920
135500,1.0392,0.0740
136000,1.0386,0.0440
136500,1.0336,0.0000
137000,1.0344,0.0580
137500,1.0348,0.0540
138000,1.0358,0.0600
138500,1.0400,0.0920
139000,1.0350,0.0000
139500,1.0322,0.0220
140000,1.0302,0.0300
140500,1.0308,0.0560
141000,1.0258,0.0000
141500,1.0232,0.0240
142000,1.0234,0.0520
142500,1.0240,0.0560
143000,1.0190,0.0000
143500,1.0170,0.0300
144000,1.0142,0.0220
144500,1.0092,0.0000
145000,1.0074,0.0320
145500,1.0088,0.0640
146000,1.0074,0.0360
146500,1.0086,0.0620
147000,1.0036,0.0000
147500,1.0026,0.0400
148000,1.0046,0.0700
148500,1.0034,0.0380
149000,1.0012,0.0280
149500,1.0026,0.0640
150000,1.0052,0.0760
150500,1.0028,0.0260
151000,1.0012,0.0340
151500,1.0022,0.0600
152000,1.0000,0.0280
152500,1.0004,0.0540
153000,1.0018,0.0640
153500,1.0004,0.0360
154000,1.0014,0.0600
154500,1.0026,0.0620
155000,1.0010,0.0340
155500,1.0064,0.1040
156000,1.0132,0.1180
156500,1.0146,0.0640
157000,1.0136,0.0400
157500,1.0148,0.0620
158000,1.0136,0.0380
158500,1.0124,0.0380
159000,1.0150,0.0760
159500,1.0136,0.0360
160000,1.0118,0.0320
160500,1.0144,0.0760
161000,1.0172,0.0780
161500,1.0166,0.0440
162000,1.0192,0.0760
162500,1.0218,0.0760
163000,1.0200,0.0320
163500,1.0208,0.0580
164000,1.0200,0.0420
164500,1.0150,0.0000
165000,1.0170,0.0700
165500,1.0206,0.0860
166000,1.0228,0.0720
166500,1.0244,0.0660
167000,1.0290,0.0960
167500,1.0336,0.0960
168000,1.0286,0.0000
168500,1.0294,0.0580
169000,1.0278,0.0340
169500,1.0254,0.0260
170000,1.0274,0.0700
170500,1.0270,0.0460
171000,1.0220,0.0000
171500,1.0202,0.0320
172000,1.0194,0.0420
172500,1.0174,0.0300
173000,1.0146,0.0220
173500,1.0096,0.0000
174000,1.0180,0.1340
174500,1.0138,0.0080
175000,1.0156,0.0680
175500,1.0138,0.0320
176000,1.0146,0.0580
176500,1.0096,0.0000
177000,1.0046,0.0000
177500,1.0060,0.0640
178000,1.0070,0.0600
178500,1.0088,0.0680
179000,1.0114,0.0760
179500,1.0170,0.1060
180000,1.0180,0.0600
180500,1.0206,0.0760
181000,1.0204,0.0480
181500,1.0228,0.0740
182000,1.0244,0.0660
182500,1.0290,0.0960
183000,1.0296,0.0560
183500,1.0300,0.0540
184000,1.0322,0.0720
184500,1.0316,0.0440
185000,1.0348,0.0820
185500,1.0346,0.0480
186000,1.0350,0.0540
186500,1.0330,0.0300
187000,1.0316,0.0360
187500,1.0364,0.0980
188000,1.0400,0.0860
188500,1.0438,0.0880
189000,1.0448,0.0600
189500,1.0426,0.0280
190000,1.0492,0.1160
190500,1.0484,0.0420
191000,1.0508,0.0740
191500,1.0572,0.1140
192000,1.0564,0.0420
192500,1.0574,0.0600
193000,1.0524,0.0000
193500,1.0508,0.0340
194000,1.0496,0.0380
194500,1.0514,0.0680
195000,1.0552,0.0880
195500,1.0502,0.0000
196000,1.0514,0.0620
196500,1.0534,0.0700
197000,1.0554,0.0700
197500,1.0566,0.0620
198000,1.0548,0.0320
198500,1.0556,0.0580
199000,1.0530,0.0240
199500,1.0552,0.0720
200000,1.0566,0.0640
200500,1.0544,0.0280
201000,1.0514,0.0200
201500,1.0542,0.0780
202000,1.0544,0.0520
202500,1.0516,0.0220
203000,1.0498,0.0320
203500,1.0520,0.0720
204000,1.0570,0.1000
204500,1.0584,0.0640
205000,1.0556,0.0220
205500,1.0554,0.0480
206000,1.0576,0.0720
206500,1.0546,0.0200
207000,1.0582,0.0860
207500,1.0600,0.0680
208000,1.0588,0.0380
208500,1.0588,0.0500
209000,1.0608,0.0700
209500,1.0614,0.0560
210000,1.0626,0.0620
210500,1.0628,0.0520
211000,1.0650,0.0720
211500,1.0632,0.0320
212000,1.0714,0.1320
212500,1.0726,0.0620
213000,1.0698,0.0220
213500,1.0674,0.0260
214000,1.0674,0.0500
214500,1.0722,0.0980
215000,1.0698,0.0260
215500,1.0678,0.0300
216000,1.0682,0.0540
216500,1.0666,0.0340
217000,1.0668,0.0520
217500,1.0666,0.0480
218000,1.0642,0.0260
218500,1.0616,0.0240
219000,1.0594,0.0280
219500,1.0594,0.0500
220000,1.0570,0.0260
220500,1.0572,0.0520
221000,1.0578,0.0560
221500,1.0580,0.0520
222000,1.0614,0.0840
222500,1.0614,0.0500
223000,1.0618,0.0540
223500,1.0624,0.0560
224000,1.0574,0.0000
224500,1.0554,0.0300
225000,1.0544,0.0400
225500,1.0544,0.0500
226000,1.0518,0.0240
