update,alpha,constraint_C
0,0.9986,0.036
1,1.0,0.064
2,0.998,0.03
3,1.018,0.25
4,1.0138,0.008
5,1.0088000000000001,0.0
6,1.0050000000000001,0.012
7,1.0000000000000002,0.0
8,0.9950000000000002,0.0
9,0.9900000000000002,0.0
10,0.9850000000000002,0.0
11,0.9800000000000002,0.0
12,0.9750000000000002,0.0
13,0.9700000000000002,0.0
14,0.9650000000000002,0.0
15,0.9600000000000002,0.0
16,0.9550000000000002,0.0
17,0.9500000000000002,0.0
18,0.9450000000000002,0.0
19,0.9400000000000002,0.0
20,0.9378000000000002,0.028
21,0.9328000000000002,0.0
22,0.9278000000000002,0.0
23,0.9228000000000002,0.0
24,0.9178000000000002,0.0
25,0.9128000000000002,0.0
26,0.9092000000000001,0.014
27,0.9042000000000001,0.0
28,0.8992000000000001,0.0
29,0.8958000000000002,0.016
30,0.8908000000000001,0.0
31,0.8886000000000002,0.028
32,0.8836000000000002,0.0
33,0.8840000000000001,0.054
34,0.8792000000000001,0.002
35,0.8918000000000001,0.176
36,0.8868000000000001,0.0
37,0.8942000000000001,0.124
38,0.8940000000000001,0.048
39,0.8890000000000001,0.0
40,0.8872000000000001,0.032
41,0.8938000000000001,0.116
42,0.8978000000000002,0.09
43,0.8928000000000001,0.0
44,0.9032000000000001,0.154
45,0.8982000000000001,0.0
46,0.8934000000000001,0.002
47,0.8884000000000001,0.0
48,0.8834000000000001,0.0
49,0.8784000000000001,0.0
50,0.8734000000000001,0.0
51,0.8684000000000001,0.0
52,0.8652000000000001,0.018
53,0.8602000000000001,0.0
54,0.8552000000000001,0.0
55,0.8502000000000001,0.0
56,0.8474,0.022
57,0.8424,0.0
58,0.8374,0.0
59,0.8324,0.0
60,0.8274,0.0
61,0.8228,0.004
62,0.8178,0.0
63,0.8281999999999999,0.154
64,0.8231999999999999,0.0
65,0.8181999999999999,0.0
66,0.8141999999999999,0.01
67,0.8101999999999999,0.01
68,0.8091999999999999,0.04
69,0.8055999999999999,0.014
70,0.8021999999999999,0.016
71,0.7971999999999999,0.0
72,0.7928,0.006
73,0.7906,0.028
74,0.8051999999999999,0.196
75,0.8001999999999999,0.0
76,0.7951999999999999,0.0
77,0.7901999999999999,0.0
78,0.7855999999999999,0.004
79,0.7831999999999999,0.026
80,0.7781999999999999,0.0
81,0.7731999999999999,0.0
82,0.7683999999999999,0.002
83,0.7647999999999998,0.014
84,0.7615999999999998,0.018
85,0.7639999999999998,0.074
86,0.7589999999999998,0.0
87,0.7539999999999998,0.0
88,0.7489999999999998,0.0
89,0.7443999999999997,0.004
90,0.7393999999999997,0.0
91,0.7343999999999997,0.0
92,0.7303999999999997,0.01
93,0.7259999999999998,0.006
94,0.7211999999999997,0.002
95,0.7167999999999998,0.006
96,0.7123999999999998,0.006
97,0.7175999999999998,0.102
98,0.7171999999999998,0.046
99,0.7123999999999998,0.002
100,0.7073999999999998,0.0
101,0.7039999999999998,0.016
102,0.7003999999999998,0.014
103,0.6965999999999998,0.012
104,0.6939999999999997,0.024
105,0.6889999999999997,0.0
106,0.6921999999999997,0.082
107,0.6895999999999997,0.024
108,0.6849999999999996,0.004
109,0.6865999999999997,0.066
110,0.6829999999999996,0.014
111,0.6819999999999996,0.04
112,0.6797999999999996,0.028
113,0.6835999999999997,0.088
114,0.6833999999999997,0.048
115,0.6833999999999997,0.05
116,0.6809999999999997,0.026
117,0.6833999999999997,0.074
118,0.6887999999999996,0.104
119,0.6899999999999996,0.062
120,0.6849999999999996,0.0
121,0.6799999999999996,0.0
122,0.7011999999999996,0.262
123,0.7087999999999997,0.126
124,0.7161999999999996,0.124
125,0.7217999999999997,0.106
126,0.7167999999999997,0.0
127,0.7117999999999997,0.0
128,0.7261999999999996,0.194
129,0.7211999999999996,0.0
130,0.7161999999999996,0.0
131,0.7111999999999996,0.0
132,0.7249999999999996,0.188
133,0.7223999999999996,0.024
134,0.7173999999999996,0.0
135,0.7141999999999996,0.018
136,0.7119999999999996,0.028
137,0.7069999999999996,0.0
138,0.7019999999999996,0.0
139,0.7045999999999997,0.076
140,0.7001999999999997,0.006
141,0.6989999999999997,0.038
142,0.6951999999999997,0.012
143,0.6971999999999997,0.07
144,0.6921999999999997,0.0
145,0.6881999999999997,0.01
146,0.6831999999999997,0.0
147,0.6789999999999997,0.008
148,0.6805999999999998,0.066
149,0.6755999999999998,0.0
150,0.6705999999999998,0.0
151,0.6911999999999997,0.256
152,0.6909999999999997,0.048
153,0.6873999999999997,0.014
154,0.6823999999999997,0.0
155,0.6891999999999997,0.118
156,0.6841999999999997,0.0
157,0.6791999999999997,0.0
158,0.6741999999999997,0.0
159,0.6753999999999997,0.062
160,0.6737999999999996,0.034
161,0.6687999999999996,0.0
162,0.6679999999999996,0.042
163,0.6699999999999996,0.07
164,0.6697999999999996,0.048
165,0.6951999999999996,0.304
166,0.6947999999999996,0.046
167,0.6945999999999997,0.048
168,0.6939999999999996,0.044
169,0.6889999999999996,0.0
170,0.6897999999999996,0.058
171,0.6933999999999997,0.086
172,0.6901999999999997,0.018
173,0.6851999999999997,0.0
174,0.6801999999999997,0.0
175,0.6795999999999996,0.044
176,0.6755999999999996,0.01
177,0.6705999999999996,0.0
178,0.6667999999999996,0.012
179,0.6697999999999996,0.08
180,0.6701999999999996,0.054
181,0.6675999999999995,0.024
182,0.6645999999999995,0.02
183,0.6635999999999995,0.04
184,0.6605999999999995,0.02
185,0.6699999999999995,0.144
186,0.6715999999999995,0.066
187,0.6681999999999996,0.016
188,0.6745999999999995,0.114
189,0.6695999999999995,0.0
190,0.6647999999999995,0.002
191,0.6613999999999995,0.016
192,0.6621999999999996,0.058
193,0.6579999999999996,0.008
194,0.6605999999999996,0.076
195,0.6589999999999996,0.034
196,0.6563999999999995,0.024
197,0.6549999999999996,0.036
198,0.6547999999999996,0.048
199,0.6519999999999996,0.022
200,0.6531999999999996,0.062
201,0.6527999999999996,0.046
202,0.6529999999999996,0.052
203,0.6485999999999996,0.006
204,0.6471999999999997,0.036
205,0.6451999999999997,0.03
206,0.6401999999999997,0.0
207,0.6369999999999997,0.018
208,0.6353999999999996,0.034
209,0.6367999999999996,0.064
210,0.6383999999999996,0.066
211,0.6381999999999997,0.048
212,0.6391999999999997,0.06
213,0.6407999999999997,0.066
214,0.6529999999999997,0.172
215,0.6479999999999997,0.0
216,0.6549999999999997,0.12
217,0.6545999999999997,0.046
218,0.6635999999999997,0.14
219,0.6649999999999997,0.064
220,0.6691999999999997,0.092
221,0.6641999999999997,0.0
222,0.6701999999999997,0.11
223,0.6653999999999997,0.002
224,0.6635999999999996,0.032
225,0.6637999999999996,0.052
226,0.6593999999999997,0.006
