step,alpha,constraint_C
500,0.9988,0.0880
1000,0.9970,0.0820
1500,1.0024,0.1540
2000,1.0062,0.1380
2500,1.0076,0.1140
3000,1.0194,0.2180
3500,1.0326,0.2320
4000,1.0234,0.0080
4500,1.0134,0.0000
5000,1.0232,0.1980
5500,1.0434,0.3020
6000,1.0542,0.2080
6500,1.0506,0.0640
7000,1.0660,0.2540
7500,1.0560,0.0000
8000,1.0502,0.0420
8500,1.0402,0.0000
9000,1.0634,0.3320
9500,1.0534,0.0000
10000,1.0892,0.4580
10500,1.0792,0.0000
11000,1.0760,0.0680
11500,1.0840,0.1800
12000,1.0740,0.0000
12500,1.0810,0.1700
13000,1.0958,0.2480
13500,1.0858,0.0000
14000,1.1036,0.2780
14500,1.1244,0.3080
15000,1.1144,0.0000
15500,1.1420,0.3760
16000,1.1320,0.0000
16500,1.1570,0.3500
17000,1.1474,0.0040
17500,1.1686,0.3120
18000,1.1940,0.3540
18500,1.1840,0.0000
19000,1.1740,0.0000
19500,1.1972,0.3320
20000,1.2054,0.1820
20500,1.1954,0.0000
21000,1.2106,0.2520
21500,1.2228,0.2220
22000,1.2280,0.1520
22500,1.2216,0.0360
23000,1.2166,0.0500
23500,1.2282,0.2160
24000,1.2372,0.1900
24500,1.2272,0.0000
25000,1.2450,0.2780
25500,1.2408,0.0580
26000,1.2492,0.1840
26500,1.2432,0.0400
27000,1.2386,0.0540
27500,1.2330,0.0440
28000,1.2306,0.0760
28500,1.2252,0.0460
29000,1.2248,0.0960
29500,1.2220,0.0720
30000,1.2178,0.0580
30500,1.2134,0.0560
31000,1.2102,0.0680
31500,1.2082,0.0800
32000,1.2036,0.0540
32500,1.1976,0.0400
33000,1.1950,0.0740
33500,1.1962,0.1120
34000,1.1896,0.0340
34500,1.1888,0.0920
35000,1.1826,0.0380
35500,1.1762,0.0360
36000,1.1662,0.0000
36500,1.1618,0.0560
37000,1.1588,0.0700
37500,1.1488,0.0000
38000,1.1404,0.0160
38500,1.1352,0.0480
39000,1.1304,0.0520
39500,1.1316,0.1120
40000,1.1278,0.0620
40500,1.1316,0.1380
41000,1.1258,0.0420
41500,1.1212,0.0540
42000,1.1162,0.0500
