timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-65.58,68.06,0.0162,5.8,nan,nan,nan,nan
20000,39.36,82.40,0.2179,104.6,nan,nan,nan,nan
30000,32.24,102.84,0.0837,11.1,nan,nan,nan,nan
40000,157.97,90.79,0.0946,43.2,nan,nan,nan,nan
50000,92.64,87.31,0.0884,38.5,nan,nan,nan,nan
60000,89.70,63.63,0.0335,16.0,nan,nan,nan,nan
70000,149.71,175.13,0.0495,16.3,nan,nan,nan,nan
80000,208.91,101.64,0.0703,17.4,nan,nan,nan,nan
90000,221.94,89.65,0.0817,20.7,nan,nan,nan,nan
100000,221.75,141.78,0.0648,14.1,nan,nan,nan,nan
110000,240.59,99.43,0.0600,12.6,nan,nan,nan,nan
120000,243.85,78.46,0.0693,17.6,nan,nan,nan,nan
130000,181.85,133.53,0.0708,16.4,nan,nan,nan,nan
140000,261.37,47.70,0.0675,17.6,nan,nan,nan,nan
150000,244.15,86.99,0.0572,14.7,nan,nan,nan,nan
160000,262.33,23.62,0.0642,16.7,nan,nan,nan,nan
170000,266.44,34.73,0.0633,15.1,nan,nan,nan,nan
180000,246.43,65.70,0.0580,13.8,nan,nan,nan,nan
190000,261.52,39.03,0.0603,14.7,nan,nan,nan,nan
200000,240.21,72.99,0.0644,14.1,nan,nan,nan,nan
210000,248.00,79.02,0.0601,12.3,nan,nan,nan,nan
220000,222.41,84.19,0.0551,13.8,nan,nan,nan,nan
230000,245.02,60.27,0.0527,13.7,nan,nan,nan,nan
240000,221.50,87.55,0.0621,14.4,nan,nan,nan,nan
250000,204.04,186.81,0.0655,14.9,nan,nan,nan,nan
260000,264.03,56.11,0.0771,16.0,nan,nan,nan,nan
270000,261.81,46.46,0.0695,14.8,nan,nan,nan,nan
280000,259.15,34.31,0.0641,15.3,nan,nan,nan,nan
290000,249.66,76.83,0.0750,15.9,nan,nan,nan,nan
300000,268.54,50.72,0.0780,16.0,nan,nan,nan,nan
