timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,7.85,24.58,0.0986,49.3,nan,nan,nan,nan
20000,148.26,132.70,0.0062,2.8,nan,nan,nan,nan
30000,159.49,106.20,0.0229,9.2,nan,nan,nan,nan
40000,185.38,88.07,0.0372,11.1,nan,nan,nan,nan
50000,208.32,69.87,0.0289,8.5,nan,nan,nan,nan
60000,246.38,31.55,0.0430,11.9,nan,nan,nan,nan
70000,166.68,73.03,0.0268,12.3,nan,nan,nan,nan
80000,249.33,49.80,0.0511,11.6,nan,nan,nan,nan
90000,272.32,17.00,0.0445,9.1,nan,nan,nan,nan
100000,246.89,54.93,0.0479,9.4,nan,nan,nan,nan
110000,264.21,13.45,0.0464,9.5,nan,nan,nan,nan
120000,246.87,79.81,0.0301,6.9,nan,nan,nan,nan
130000,253.77,30.68,0.0341,8.0,nan,nan,nan,nan
140000,260.22,44.07,0.0498,10.3,nan,nan,nan,nan
150000,266.74,26.14,0.0415,9.1,nan,nan,nan,nan
160000,271.53,14.31,0.0436,8.8,nan,nan,nan,nan
170000,274.64,25.13,0.0381,7.9,nan,nan,nan,nan
180000,260.96,56.07,0.0436,8.6,nan,nan,nan,nan
190000,265.46,30.83,0.0420,8.7,nan,nan,nan,nan
200000,271.84,17.25,0.0607,12.5,nan,nan,nan,nan
210000,274.64,35.94,0.0499,9.4,nan,nan,nan,nan
220000,277.44,23.81,0.0568,10.5,nan,nan,nan,nan
230000,279.73,26.83,0.0466,8.5,nan,nan,nan,nan
240000,277.94,24.03,0.0447,8.6,nan,nan,nan,nan
250000,281.45,16.93,0.0470,8.6,nan,nan,nan,nan
260000,274.04,24.82,0.0469,8.4,nan,nan,nan,nan
270000,273.73,17.67,0.0554,10.6,nan,nan,nan,nan
280000,265.23,47.83,0.0526,9.6,nan,nan,nan,nan
290000,264.50,52.24,0.0490,9.0,nan,nan,nan,nan
300000,276.60,27.01,0.0499,9.4,nan,nan,nan,nan
