update,alpha,constraint_C
0,1.0,0.05
1,1.0058,0.108
2,1.01,0.092
3,1.0118,0.068
4,1.0142,0.074
5,1.01,0.008
6,1.0050000000000001,0.0
7,1.0130000000000001,0.13
8,1.0154,0.074
9,1.0158,0.054
10,1.0364,0.256
11,1.0314,0.0
12,1.0286000000000002,0.022
13,1.0236000000000003,0.0
14,1.0186000000000004,0.0
15,1.0136000000000005,0.0
16,1.0086000000000006,0.0
17,1.0036000000000007,0.0
18,0.9986000000000007,0.0
19,0.9936000000000007,0.0
20,0.9886000000000007,0.0
21,0.9836000000000007,0.0
22,0.9786000000000007,0.0
23,0.9736000000000007,0.0
24,0.9686000000000007,0.0
25,0.9654000000000007,0.018
26,0.9604000000000007,0.0
27,0.9554000000000007,0.0
28,0.9504000000000007,0.0
29,0.9454000000000007,0.0
30,0.9498000000000006,0.094
31,0.9448000000000006,0.0
32,0.9426000000000007,0.028
33,0.9436000000000007,0.06
34,0.9386000000000007,0.0
35,0.9390000000000006,0.054
36,0.9370000000000006,0.03
37,0.9384000000000006,0.064
38,0.9366000000000005,0.032
39,0.9316000000000005,0.0
40,0.9286000000000005,0.02
41,0.9316000000000005,0.08
42,0.9396000000000005,0.13
43,0.9372000000000006,0.026
44,0.9438000000000006,0.116
45,0.9418000000000006,0.03
46,0.9368000000000006,0.0
47,0.9318000000000006,0.0
48,0.9268000000000006,0.0
49,0.9242000000000006,0.024
50,0.9208000000000006,0.016
51,0.9358000000000006,0.2
52,0.9482000000000006,0.174
53,0.9620000000000006,0.188
54,0.9606000000000007,0.036
55,0.9664000000000007,0.108
56,0.9666000000000007,0.052
57,0.9742000000000007,0.126
58,0.9882000000000007,0.19
59,0.9834000000000007,0.002
60,0.9866000000000007,0.082
61,1.0050000000000008,0.234
62,1.0056000000000007,0.056
63,1.0082000000000007,0.076
64,1.0422000000000007,0.39
65,1.0372000000000008,0.0
66,1.0380000000000007,0.058
67,1.0356000000000007,0.026
68,1.0386000000000006,0.08
69,1.0336000000000007,0.0
70,1.0302000000000007,0.016
71,1.0320000000000007,0.068
72,1.0270000000000008,0.0
