timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-372.23,1.08,0.0115,2.3,1.0000,61.9,100,0
20000,-348.36,1.21,0.0178,3.6,1.0000,55.8,0,100
30000,-346.38,0.79,0.0182,3.6,1.0000,55.0,0,100
40000,-341.34,2.50,0.0137,2.7,1.0000,54.7,0,100
50000,-338.84,2.79,0.0097,1.9,1.0000,54.2,0,100
60000,-336.17,2.55,0.0097,1.9,1.0000,53.6,0,100
70000,-332.47,2.81,0.0100,2.0,1.0000,52.3,0,100
80000,-330.39,1.88,0.0100,2.0,1.0000,56.2,0,100
90000,-327.28,2.74,0.0128,2.6,1.0000,52.4,0,100
100000,-328.96,2.72,0.0133,2.7,1.0000,55.0,0,100
110000,-327.55,2.51,0.0125,2.5,1.0000,52.4,0,100
120000,-326.71,1.49,0.0108,2.2,1.0000,52.0,0,100
130000,-325.77,1.41,0.0101,2.0,1.0000,51.0,0,100
140000,-326.22,1.55,0.0114,2.3,1.0000,51.1,0,100
150000,-326.14,1.79,0.0144,2.9,1.0000,51.9,0,100
