timestep,true_return_mean,true_return_std,zone_step_frac,zone_steps_mean,upright_success_rate,time_to_upright_mean,left_path_pct,right_path_pct
10000,-369.25,1.44,0.0146,2.9,1.0000,64.8,100,0
20000,-362.25,2.59,0.0499,10.0,1.0000,59.8,0,100
30000,-366.88,2.49,0.0127,2.5,1.0000,65.1,100,0
40000,-355.38,4.05,0.0122,2.4,1.0000,61.9,100,0
50000,-351.70,2.46,0.0137,2.7,1.0000,60.4,98,2
60000,-350.68,2.84,0.0143,2.9,1.0000,59.7,96,4
70000,-352.02,3.02,0.0166,3.3,1.0000,59.9,86,14
80000,-350.27,2.86,0.0149,3.0,1.0000,58.7,80,20
90000,-347.32,1.63,0.0106,2.1,1.0000,58.1,100,0
100000,-347.45,1.60,0.0119,2.4,1.0000,58.6,92,8
110000,-346.32,2.40,0.0112,2.2,1.0000,58.0,96,4
120000,-345.80,1.70,0.0174,3.5,1.0000,56.9,70,30
130000,-348.48,1.22,0.0147,2.9,1.0000,58.2,74,26
140000,-347.43,1.68,0.0186,3.7,1.0000,55.0,2,98
150000,-345.77,2.45,0.0105,2.1,1.0000,55.3,0,100
